"","record_id","treatment_arm","taco_choice","meat_select","chicken_select","age","gender","county_name","state","location","dob","times_visited_chipotle_past_month","ffq_cow_freq","ffq_pig_freq","ffq_attn_freq","ffq_hen_freq","ffq_pb_freq","ffq_fish_freq","ffq_dairy_freq","ffq_eggs_freq","opted_out_all","merged_protein","other_meat_select","block_order","block_order_pre_tacos","bev_type","purpose_guess","education","ethnicity","attention_check","tortilla_type","no_toppings","has_dairy","regular_toppings","premium_toppings","political_party","time_elapsed"
"1",2,"1","Steak",1,0,40,"Male","Norfolk","MA22","Norfolk, MA",1985,0,3,3,3,2,1,1,4,3,NA,2,1,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","Mexican Coca-Cola","Learning how plant-based protein options affect the foods people choose","Some college or 2-year degree","Multi: Caucasian + East Asian",2,"Soft flour tortillas",FALSE,FALSE,"White rice + Black beans + Cheese","No premium toppings","Independent",142
"2",3,"1","Chicken",1,1,48,"Female","Onondaga","NY33","Onondaga, NY",1977,1,5,5,7,5,5,6,5,5,NA,1,0,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","Shirt","Organic lemonade","Learning how solid color options affect the shirts people choose","4-year college graduate","Other",1,"Crispy corn tortillas",FALSE,TRUE,"Brown rice + Pinto beans + Sour cream","Queso blanco","Independent",183
"3",4,"2","Chicken",1,1,20,"Female","Oklahoma","OK37","Oklahoma, OK",2005,1,4,2,7,4,1,1,7,6,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Pen-Shirt","Bottled water","Learning whether people's shirt preferences are related to their food preferences","Some college or 2-year degree","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"White rice + Fresh tomato salsa + Sour cream + Cheese + Romaine lettuce","Guacamole","Prefer not to answer",146
"4",5,"1","Steak",1,0,39,"Female","Chautauqua","NY33","Chautauqua, NY",1986,0,1,2,7,3,1,1,3,1,NA,2,1,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1","None","Organic watermelon limeade","Learning how many color options to provide across different products","Some college or 2-year degree","Caucasian",2,"Crispy corn tortillas",FALSE,TRUE,"Fresh tomato salsa + Tomatillo red chili salsa + Fajita veggies + Cheese + Romaine lettuce","No premium toppings","Republican",187
"5",6,"2","Chicken",1,1,57,"Male","Osceola","FL10","Osceola, FL",1968,2,4,3,7,3,1,1,2,6,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Pen-Shirt","Organic watermelon limeade","Learning how color preference relates to food preference","4-year college graduate","Caucasian",1,"Soft flour tortillas",FALSE,FALSE,"Pinto beans + Fresh tomato salsa + Romaine lettuce","Guacamole","Other",275
"6",7,"1","Chicken",1,1,24,"Male","Baltimore","MD21","Baltimore, MD",2001,0,2,2,7,2,1,1,4,1,NA,1,0,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1","None","Mexican Coca-Cola","Learning whether people's shirt preferences are related to their food preferences","High school or GED","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"Brown rice","Queso blanco","Republican",181
"7",8,"1","Beef barbacoa",1,0,24,"Female","Armstrong","TX44","Armstrong, TX",2001,6,3,1,7,4,1,3,3,4,NA,3,1,"q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1","Pen-Shirt","Organic berry agua fresca","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Black/African American",3,"Crispy corn tortillas",FALSE,TRUE,"White rice + Pinto beans + Tomatillo green chili salsa + Cheese","Queso blanco","Republican",295
"8",9,"1","Steak",1,0,24,"Female","Calaveras","CA05","Calaveras, CA",2001,2,5,3,7,2,2,2,3,5,NA,2,1,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","Apple juice","Learning whether people's shirt preferences are related to their food preferences","More than 4-year college degree","Caucasian",2,"Crispy corn tortillas",FALSE,TRUE,"Tomatillo red chili salsa","Queso blanco","Democrat",355
"9",10,"2","Carnitas",1,0,25,"Male","Larimer","CO06","Larimer, CO",2000,1,3,2,7,2,1,1,4,3,NA,4,1,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Shirt-Pen","Mexican Coca-Cola","Learning how many color options to provide across different products","4-year college graduate","Caucasian",4,"Crispy corn tortillas",FALSE,TRUE,"Black beans + Fresh tomato salsa + Tomatillo green chili salsa + Sour cream + Cheese","No premium toppings","Other",131
"10",11,"2","Beef barbacoa",1,0,24,"Male","Contra Costa","CA05","Contra Costa, CA",2001,2,4,1,7,2,3,4,3,4,NA,3,1,"q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","None","Organic lemonade","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Caucasian",1,"Crispy corn tortillas",FALSE,TRUE,"White rice","Queso blanco","Democrat",254
"11",12,"2","Sofritas (plant-based protein)",0,0,21,"Male","Island","WA48","Island, WA",2004,50,7,6,7,6,5,6,7,7,NA,5,0,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Shirt-Pen","Mexican Sprite","Learning whether people's shirt preferences are related to their food preferences","More than 4-year college degree","Black/African American",5,"Crispy corn tortillas",FALSE,FALSE,"Fresh tomato salsa","Guacamole","Republican",1193
"12",13,"3","Steak",1,0,25,"Female","Catron","NM32","Catron, NM",2000,20,4,4,2,3,4,4,3,3,NA,2,1,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev","Shirt-Pen","Organic lemonade","Learning whether older people are more likely to select high calorie toppings","4-year college graduate","Black/African American",2,"Crispy corn tortillas",FALSE,TRUE,"White rice + Brown rice + Black beans + Sour cream + Fajita veggies","Guacamole","Republican",225
"13",14,"3","Chicken",1,1,43,"Male","Alcona","MI23","Alcona, MI",1982,1,4,5,7,5,2,3,7,1,NA,1,0,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev","Shirt-Pen","Apple juice","Learning how many color options to provide across different products","4-year college graduate","Black/African American",1,"Crispy corn tortillas",FALSE,TRUE,"White rice + Black beans + Fresh tomato salsa + Tomatillo green chili salsa + Sour cream","Guacamole","Republican",226
"14",15,"2","Chicken",1,1,61,"Female","Washington","LA19","Washington, LA",1964,12,7,7,7,7,7,7,7,7,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Pen-Shirt","Organic watermelon limeade","Learning whether people's shirt preferences are related to their food preferences","More than 4-year college degree","Black/African American",1,"Crispy corn tortillas",FALSE,FALSE,"White rice","Guacamole","Independent",348
"15",16,"3","Steak",1,0,36,"Female","Barton","MO26","Barton, MO",1989,0,1,2,7,2,1,1,3,3,NA,2,1,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","Fountain drink","Learning how many color options to provide across different products","High school or GED","Caucasian",2,"Soft flour tortillas",FALSE,TRUE,"Fresh tomato salsa + Sour cream + Cheese + Romaine lettuce","Queso blanco","Republican",156
"16",17,"2","Veggies (includes guacamole)",0,0,26,NA,"Cook","IL14","Cook, IL",1999,2,1,1,7,1,1,1,4,2,NA,7,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Pen-Shirt","Organic berry agua fresca","Learning how many color options to provide across different products","Some college or 2-year degree","Multi: Caucasian + Hispanic",7,"Soft flour tortillas",FALSE,TRUE,"White rice + Black beans + Fresh tomato salsa + Fajita veggies + Romaine lettuce","Guacamole + Queso blanco","Democrat",149
"17",18,"2","Beef barbacoa",1,0,36,"Male","Sacramento","CA05","Sacramento, CA",1989,0,3,1,7,5,1,1,4,6,NA,3,1,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Shirt-Pen","Fountain drink","Learning how color preference relates to food preference","High school or GED","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"Brown rice + Black beans + Roasted chili corn salsa + Sour cream + Fajita veggies","Guacamole","Democrat",252
